Co się stało?	1, 2, 4, 7
Interes kiepsko idzie.	6
Gdyby nas nie poszukiwano, nie byłoby tu nas.	4
Może napijemy się za stare czasy?	2, 5
Nic z tego.	3
Nie przydadzą mi się.	6
Kogo to obchodzi.	1, 3, 6
Pamiętasz Herefordów?	2, 5
Ktoś stawia kolejkę?	2
Dwóch to za mało.	1, 8
- Umowa stoi.	8
Chwileczkę!	1, 7
Chcesz coś powiedzieć?	1
Nie zgadzam się.	1, 3
A co niby mamy zrobić?	1, 2
Eggers da 35 od sztuki... i sam je ubije.	4
200 ludzi stawiło się do pracy... w wielkiej rzeżni w Chicago.	3
Co ma do tego pociąg?	1, 7
- Wypiję za to!	5
Bez zmian nie ma postępu.	5, 7
Zemsta zaciąży nad twoją przyszłością. Przeszłość cię zniszczy.	3, 4, 6
Tu nas nie znajdą.	1, 4
Możemy zastosować plan Shelleena.	2, 5
A gdy was proszę o pomoc w napadzie na pociąg...	1, 6
Niezła banda!	1, 5, 8
Indianin, pijany rewolwerowiec, maniak seksualny... i wujek!	7
Sama to zrobię!	1, 8
Kąpię się.	2, 5
Czy to dziwne?	2
- Proszę zasłonić!	1
Dziękuję!	8
Wypuść mnie!	1, 4
On żyje!	5, 7
Trzeba go wypuścić!	1, 4
Co jest?	2, 4, 7, 8
Ręce do góry!	1, 2
Wpuść mnie!	1, 4
Napad.	4
Zajmijcie się tym.	1
- Co zrobimy?	4
Nie otworzy.	1
To prawda?	1
Wsadzą nas za to!	4
Boisz się?	3
Spadamy!	1, 2, 3, 4
Wyglądał miło.	8
Wspaniały plan!	5
Idealna robota.	5
Mieliśmy fart.	1, 6, 7
- Ale jak?	4
Kochany Shelleen!	5
Pożyczysz kulkę?	8
Jak kiedyś.	5, 6
Kiedyś tylko byś kwiknął.	3
Co z wami jest?	1, 3, 4
Daj staruszkowi drinka.	1, 2, 4
Było tam tego więcej.	2
Zrobiliśmy.	2, 5
Moja banda!	8
To początek.	1, 5
Możecie być bogaci.	8
Wolf City należy do niego. Nie tyka nas.	8
Banda morderców i rozpruwaczy.	4
Gdy byliśmy dziećmi, baliśmy się waszych imion.	4
Jesteś stary.	3, 6
Wołowina, piwo, buty... i zabawa.	5
Chyba cię kocham.	5, 8
Gdy... kogoś podziwiasz, wszystko wybaczysz.	5
Zupełne szaleństwo.	4, 8
Tam. W tych niebieskich oczach.	2, 8
Źadna mnie nie usidli.	1, 2
Sama prosisz się o śmierć.	4, 7
I co z tego?	1
Obiecywałem, że będę bohaterem?	1
Nie martw się, nie jesteś.	3
Nie masz prawa tak myśleć.	1
Idż sobie.	6, 7
Co się dzieje?	1, 2, 4, 5, 7, 8
Bogowie sprowadzają na człowieka szaleństwo... gdy się zakocha.	8
Bardzo poetyczne.	3, 5, 7
Co mam zrobić?	1, 4, 6
Niewiele możesz.	1
Zobaczymy się póżniej.	2, 8
Spodobało mi się to, że wreszcie wygrywam.	2, 5
Sir Harry chce odzyskać pieniądze!	1, 4
Znajdż go.	1
Zawsze będziemy z panią.	5, 8
Nie martw się.	8
Drinka?	8
Witaj, Kid.	5
Szukasz pracy?	8
Więc czego?	1, 7
Tego!	7
Między nami nie było już uczucia.	5
Strzelanina.	4
Nie można nic sobie przypomnieć.	1
Byliście przyjaciółmi?	2
Byliśmy braćmi.	6
W Tombstone zmusił mnie, bym spacerował... tylko w pasie i kapeluszu.	4
Poszło mi świetnie.	5
Jedzie tu całe Wolf City.	2, 7
Zrobimy jak ostatnio.	2
50 bandytów tego Anglika i jeszcze inni.	2, 3, 4
To na pewno on?	4, 7
Anglik chce walczyć?	1, 2, 4
Dostanie, czego chce.	1
Chce umrzeć!	4
To legenda.	2, 5, 8
Lepiej niż umrzeć w hotelu.	1, 2, 6
Bałem się umrzeć na ulicy, po pijaku.	4
Chcę jeszcze wiele przeżyć i zobaczyć.	6
Nie chcę umierać.	4
Jedżmy do St. Louis.	2
Myślicie, że my chcemy ślubu?	1, 3, 6
A śmiałeś się ze mnie.	1, 3
Staruch, zalecający się do młódki.	1, 3
- Zrobisz to, co trzeba.	2, 8
To nic.	4
Ożeń się!	2, 5
Ale ona nie chce.	1
Wreszcie muszę dać ci nauczkę!	1
Mogę pracować? Poszła już.	1, 2
