Hai, omule.	6, 7
Am spart-o.	1, 4
Hai, marcă banu', barosane.	2, 5
Ţi-am zis să nu-mi mai spui aşa.	1
Îi faci tu praf pe toţi sau îi fac eu?	2
Cum adică sec?	7
Sunteţi orbi, băieţi?	1
Cred că cineva a mânărit cărţile.	1, 4
Eşti nebun?	1, 7
Nu punea el 194 $ pe o amărâtă de pereche.	1, 3
Eu zic că ai marcat cărţile.	1
N-am nevoie de cărţi marcate ca să te bat pe tine.	1
Stai aici.	2, 4, 8
Mă ocup eu de el.	5, 8
Dă-mi banii.	1, 2
M-au ocolit toată ziua. - Care-i pariul?	1
Şaptesprezece la tine, Philly.	3
- De la mine ce ai, Kid?	1
- Ţi-a ieşit ceva?	2
Ştii că a fost un tip la masă care m-a acuzat că am mânărit cărţile?	1, 7
Joci cu amatori, ei?	3, 6, 7
Nu ţi-am zis că o să-ţi crape careva capul?	4, 5
A fost singurul joc pe care l-am găsit unde nu creditasem pe nimeni.	7
Kid va trebui să joace cu el.	2, 4
E o idee foarte bună, dle Howard.	5, 8
Plăcerea mea, dle.	5
Şi transmiteţi-i salutări fermecătoarei dv soţii.	8
Excelent.	2, 5, 8
În regulă.	1, 2, 5, 8
Nu mă atinge.	1, 3
Prea mult.	1, 3
M-a învăluit, m-a prins şi apoi,	3
Aşteaptă până o să fii tu sub lupa lui.	3, 4
Eşti unul din cei mai buni jucători pe care-i ştiu.	5, 8
Credeam că sunt cel mai bun jucător din lume.	6
Îţi spun, credeam că sunt cel mai bun.	6
Va folosi toate trucurile clasice şi câteva inventate de el.	4
Nu vreau lecţii, Shooter.	1
Vreau să-l curăţ.	2
Ce s-a întâmplat cu haina ta?	7
Nu-ţi mai povestesc.	1, 6
N-o să crezi asta.	7
Da şi soţii sunt fericiţi.	5
Pentru că mi se pare logic.	2, 5
De ce naiba te duci la filme franţuzeşti?	1, 3, 7
- Ştiu.	5, 8
Mie îmi place Melba.	5
Chiar trebuie să trişezi la toate alea?	1, 3
Nu înţelegi?	1, 4
Ai stricat puzzle-ul.	1
Piesa aia nu se potriveşte acolo.	1
De ce să răspund eu?	1
O să fiu acolo.	8
Chiar vrei să porţi aşa ceva?	3, 6, 7
Cred că şi tu ai arăta bine într-unul.	2, 5, 8
Acum unde te duci?	1
Atunci vino şi vezi.	2
Asta e minunat.	2
Asta e ceva.	5
Ţie ţi-ar plăcea să-ţi petreci restul zilelor cu Shooter?	2
Cel puţin ştii cât de mult însemni pentru cineva.	5, 8
Asta e cea mai mare miză de până acum.	7
De unde naiba ai ştiut că nu am regele sau asul?	1, 7
- Mulţumesc.	2, 5, 6, 7, 8
O să joci cu Kid?	2
Dar cred că o să-ţi placă jocul ăsta.	2, 7
Cu cât era mai tare adversarul, cu atât mai mult îţi plăcea partida.	2, 5
Ce aşteptăm, Shooter? Hai, să-i dăm drumul.	2, 7
N-o să ghiceşti unde am fost.	2, 7
Ne mai vedem.	2
Să mâncăm ceva.	2
Când pleci?	2
Doar dacă nu vrei să rămân.	2
Nici nu m-ai întrebat de ce plec.	1
N-am spus niciodată aşa ceva.	1
Mi-am făcut bagajele.	5
Aşa e, Shooter?	1
Mulţumesc pentru distracţie, domnilor.	2, 8
A fost o experienţă plăcută să văd un mare artist în acţiune.	5, 7, 8
Mulţumesc pentru privilegiu.	5, 8
Cu multă plăcere, fiule.	5, 8
E o plăcere să joci cu cineva care înţelege că pentru adevăratul jucător banii nu-s un scop, ci un instrument, cum este limbajul pentru gândire.	5, 8
Ne vedem diseară.	2, 8
Aş aprecia foarte mult.	5, 8
Mersi, Kid.	2, 5
- E falită.	6
A lăsat tot la un joc de faro, în Vegas.	1
- Deci, cred că asta-i tot.	2
- Şi fie ca cel mai bun să câştige.	2, 5, 8
Shooter, spune-mi: băiatul ăsta al tău o să-mi facă probleme?	3
"Cel mai lung joc al meu a fost în voiajul inaugural al ""Mauritaniei."""	3
E un fapt de netăgăduit.	8
N-am de gând să mă retrag încă.	6
Trebuie să stăm cu ei?	3, 4
Jessie, mişcă-ţi fundul.	1
Nu-ţi face griji, Kid.	8
Şi a mea m-a lăsat.	6
De cine faci mişto, surioară?	1
Pregătiţi-vă!	2
Se pare că ne datorezi nişte bani, grăsanule.	3
Alice Lee, dragă, îi împrospătezi puţin băutura dlui William?	5, 8
Dragă, du-te te rog în bucătărie şi adu-ne nişte aperitive din alea dichisite.	8
Chiar asta mă pregăteam să fac, dragă.	2, 5
Billy, uneori cred că ai puteri paranormale.	4, 7
Fata asta înseamnă mai mult pentru mine decât orice pe lume, Shooter.	5, 8
E fată de treabă, Melba.	8
O fată de calitate, cu bun gust.	5
Gustul pentru lucruri frumoase.	5
Atunci încep să se îndepărteze.	6
Aş spune că pariorii din New York o să pună, probabil, 8-5 în favoarea lui Lancey.	2, 8
Personal, cred că mai multe şanse are Kid.	2
- Eu n-aş vrea să pariez pe asta.	8
Va intra în declin.	3, 4, 5
Dar Kid ar putea fi stresat de o partidă atât de importantă.	4
Nu pot să fac aşa ceva. Sigur că nu.	6
Nu se pune problema, dle Slade. Vezi dumneata...	1
Melba ar fi mândră de tine dacă ai câştiga 25000 $.	2, 5
Nu, îmi pare rău, dle Slade.	6
Ştii când mi-am dat seama de asta?	7
Aşa e, băiete.	8
E pentru felul meu de bani.	2, 5
- Ştiu poveştile alea.	3
Scot la iveală ce-i mai bun în tine, Melba.	5, 7
Vezi ceva care îţi place?	2
Nu-mi spune că Shooter e cel mai bun şi mai vechi prieten al tău.	3, 7
Da, părea că se distrează destul de bine.	5
Ticălosule!	1
Sper să piezi.	1, 3
Mersi, dragă.	8
O să fie plin, din câte am auzit.	2
Ştii cine era, Kid?	8
- Nu, nu azi.	1, 3
O să vină o grămadă de bani.	2
Ne vedem mai târziu.	2, 5
Bună, Kid.	8
- S-a pariat destul şi pe tine.	2
Ne vedem mai târziu, Shooter.	2
Ce surpriză!	7
Sunt nişte biscuiţi calzi în încălzitor.	5, 8
La ce visează fetiţele.	3, 6, 7
Auzisem o poveste despre o piatră a dorinţelor de pe malul râului Mississippi.	2
Şi, dacă o sărutam şi îmi puneam o dorinţă, mi se va îndeplini.	2, 7
Asta mâncăm de obicei.	8
Acum poţi să-i arăţi lui tata câteva trucuri.	2
- Trucuri?	2
N-am mai văzut aşa ceva!	3
Hei, trebuie să vii să vezi asta.	2
Uită-te bine.	5
Nu mi-o arătaţi.	1
- Da, joc în seara asta.	2
- O să câştig ceva.	2
Nu-ţi face griji.	8
Mi-am construit reputaţia timp de 25 de ani.	5
Ştii ce vreau să spun.	8
Să-ţi spun ceva.	2, 8
N-o să-l ajut decât dacă o să aibă nevoie.	2
Shooter cel cinstit.	8
Îmi aminteşti din ce în ce mai mult de primul meu soţ.	1, 3, 5, 7
- Şi ăla era un ratat.	3
- Eu nu sunt ratat.	1
Bună seara tuturor!	5
- Lady Fingers.	5
- Ce alt motiv ar mai putea fi?	1
Aşa e.	5
Dă-l gata pe şmecherul ăla, Kid.	1, 4
- Mă simt excelent.	5
- Mă bucur să te văd.	5
Mă bucur că te cunosc, Lancey.	5
Plăcerea este a mea.	5, 8
New Orleans a fost întotdeauna bun cu mine.	5
Mi s-a spus că eşti un jucător formidabil, tinere.	2, 8
Aud de tine de câţiva ani.	2
Da, a fost un lucru periculos.	4
Sunt de la Clubul de Bridge din New Orleans şi au fost sigilate de steward.	4
Shooter, Lady Fingers şi cu mine le-am adus până aici.	8
Kid, ce joc preferi?	2
Domnilor, dacă nu sunt obiecţii, eu voi face cărţile.	1, 8
- Îmi pare rău, Lady Fingers.	6
Ştii cât de mult îmi place stilul tău elevat de joc.	2, 5, 8
Mulţumesc.	2, 5, 6, 7, 8
Sper să reziste.	2
Un jucător mort are o jumătate de oră ca să-şi strângă banii şi să reintre.	1
- Eu joc.	2
- Şi eu.	2, 4, 6, 8
- Nu merg după nouari.	6, 7
Şi eu nu pot să încep.	1
Shooter ştie ce face.	8
Aşa ar trebui să fie dacă vrea să rămână ceva.	1
Am venit aici ca să joc.	2
Foarte drăguţ.	5
Lancey?	7
Absolut hilar.	5
- Cum stă treaba?	2
Kid l-a bătut o dată şi încă nu şi-a revenit.	4
- Eu merg.	2
Valet pentru rege.	8
Eu, pariez tot potul.	8
Eu merg.	2
Terminat.	1, 4
Îţi dau 1500 şi plusez cu 2500.	8
Mersi, Lancey.	5
Mersi mult.	5
Nu e foarte norocos, nu-i aşa?	7
Îţi mulţumesc frumos, Melba.	8
Ştii, Melba, mă supără când văd un om ca Shooter, ajuns la vârsta de mijloc fără să aibă asigurat venitul pe săptămâna viitoare.	3, 4, 6, 7
- Şi Spider Man a murit încet.	6
- A murit încet.	6
- Interesantă adunare.	5
Ştii, Kid, eşti cel mai bun jucător pe care l-am văzut în 35 de ani de experienţă.	8
Te prinsesei, nu?	1, 7
Ar trebui să vii.	2
- S-ar putea să vin.	7, 8
- Dar trebuie să ai nervii tari.	8
