Vá lá, pá!	6, 7
Veio estragar tudo...	1, 4
Vá, aposta os teus seis, artola.	2, 5
Não me chames isso, já te disse.	1
Vais arrasar com toda a gente? Ou vou eu?	2
Que queres dizer com isso?	7
Vocês são cegos ou quê?	1
Acho que alguém tem feito batota.	1, 4
És doido?	1, 7
Ele não ia apostar 1 94 dólares num miserável par.	1, 3
Estou a dizer que viciaste o jogo.	1
Não preciso de viciar jogo algum para te bater, rapaz.	1
Dá-me o dinheiro.	1, 2
Nada o dia inteiro, Kid.	1
Dezassete para ti, Philly.	3
-Quanto, Kid?	1
-Saíste-te bem?	2
Sabes que um dos jogadores me acusou de viciar o baralho?	1, 7
Andaste a jogar com amadores?	3, 6, 7
Não te disse que, um dia destes, ainda acabas mal?	4, 5
Era o único jogo na cidade em que ninguém me devia dinheiro.	7
O Kid tem de jogar contra ele.	2, 4
É uma excelente ideia, Mr. Howard.	5, 8
O prazer será meu.	5
Dê cumprimentos meus à sua encantadora esposa.	8
Acho excelente.	2, 5, 8
Está combinado.	5, 8
Não me toques.	1, 3
Há tempo de mais.	1, 3
Deu-me um baile, uma verdadeira coça, e depois...	3
Espera só até ele se atirar a ti. Espera só...	3, 4
Julgava-me o maior jogador de póquer do mundo.	6
Digo-te, achava-me o melhor.	6
Recorrerá a todos os truques e até a uns inventados para vencer.	4
Não quero lições, Shooter.	1
Quero tudo o que ele tem.	2
Que aconteceu ao teu blusão?	7
-Sobre o que era o filme?	2
Não conto mais.	1, 6
Não vais acreditar...	7
Os maridos devem ter ficado felizes.	5
Porque faz sentido.	2, 5
Afinal, por que raio vês filmes franceses?	1, 3, 7
-Eu sei.	5, 8
Acontece que gosto da Melba.	5
Tens de fazer batota em tudo?	1, 3
Estragaste o puzzle.	1
Essa peça não encaixa aí.	1
Por que hei-de atender?	1
Lá estarei.	8
Vestirias mesmo uma coisa destas?	3, 6, 7
Aposto que também te ficaria bem.	2, 5, 8
Aonde vais, agora?	1
Vem e saberás.	2
Isso é que é formidável:	2
Tem muito que se lhe diga.	5
Gostarias de passar o resto da vida com o Shooter?	2
Pelo menos, sabes o quanto significas para alguém.	5, 8
É o maior bolo de todos, não?	7
Como raio sabia que eu não tinha o rei ou o ás?	1, 7
-Obrigado.	5, 7, 8
Vais jogar contra o Kid?	2
Mas acho que vais gostar do jogo dele.	2, 7
Ora, quanto mais renhida era a competição, mais dela gostavas.	2, 5
Por que esperamos, Shooter?	2, 7
Nem adivinhas aonde fomos.	2, 7
Até à vista.	2
Vamos comer qualquer coisa.	2
Quando partes?	2
A menos que queiras que fique.	2
Nem me perguntaste por que ia.	1
Eu nunca disse isso.	1
"... serei"" OHomem""."	3, 8
Estou pronta.	5
Certo, Shooter?	1
Obrigado pelo tempo bem passado.	2, 8
Foi... ... umaexperiênciagratificante ver um grande artista em acção.	5, 7, 8
Obrigado pelo privilégio, senhor.	5, 8
Não tem de quê, rapaz.	5, 8
É um prazer conhecer alguém que sabe que para o verdadeiro jogador o dinheiro nunca é um fim, mas uma ferramenta, uma forma de expressão.	5, 8
Vemo-nos esta noite.	2, 8
Fico-te agradecido.	5, 8
Obrigado, Kid.	2, 5
-Lisa.	6
Perdeu tudo a jogar às cartas, em Las Vegas.	1
-Então, está combinado.	2
-E que vença o melhor.	2, 5, 8
Shooter... Diz-me...  Esse teu jovem vai dar-me problemas?	3
O meu jogo mais longo foi na viagem de inauguração do Mauretania.	3
É realmente verdade.	8
Ainda não chegou a hora da reforma.	6
Temos de nos sentar junto a eles?	3, 4
Chega-te para lá, Jessie.	1
Não te rales.	8
A minha também me deixou.	6
Quem tentas enganar, miúda?	1
Preparem-se...	2
Parece que nos deves dinheiro, gordo!	3
Alice Lee, podias voltar a servir Mr. Williams?	5, 8
Querida, por que não vais à cozinha e não nos trazes aquelas... ... entradasfinórias?	8
Era mesmo isso que eu ia fazer, amor.	2, 5
Digo-te, Billy, por vezes, parece que tens poderes telepáticos.	4, 7
Para mim, essa rapariga é a coisa mais importante do mundo.	5, 8
A Melba é uma rapariga e tanto.	8
Uma rapariga cheia de qualidades e de bom gosto.	5
o gosto pelas coisas boas da vida.	5
É então que começam a afastar-se.	6
Os de Nova lorque provavelmente apostarão oito para cinco no Lancey.	2, 8
Acho que as hipóteses do Kid são melhores.	2
-Eu não apostaria.	8
Está na altura de se retirar.	3, 4, 5
O problema é que o Kid pode estar nervoso.	4
Nunca faria uma coisa dessas.	6
Está fora de questão, Mr. Slade.	1
A Melba ficaria muito orgulhosa se ganhasses 25 mil dólares.	2, 5
Não, lamento, Mr. Slade.	6
Sabes quando percebi isso?	7
-Eu conheço bem essas histórias.	3
Calma.	1, 4, 5, 6, 7
Revela o melhor que há em ti, Melba.	5, 7
Vês alguma coisa que te agrade?	2
