Но, јас не би ви доверил злато.	3, 8
Жена ми многу се потруди.	1, 4, 6, 8
- Хауард, како си?	2, 8
- Да.	2, 4, 7
Да, ми се јави.	3
- Не знаеш?	1, 2
- Слушнав дека си се омажила.	5
Благодарам.	5, 8
- Едвард каде одиш?	7
Мислам дека не треба да возиш.	4
Момци каков е овој систем?	3
- Нова кола е.	7
- Ја обожавам колава.	5, 7
Добредојдовте во Холивуд!	2, 5
Секој што доаѓа во Холивуд има сон.	2, 5, 8
Се потроши?	6
Смири се, девојко.	7
- Уште 200 долари?	4
- можеме да се договориме.	2, 5
- Што одработуваме?	2, 5
Навистина ти се допаѓа, Карлос?	7
Не беше достапна за консултации.	1
Таа беше наркоманка.	3
Доминик се обиде да ја оправи.	6
- Еј, Рејчел.	2
- А плус, таа е нова.	8
- Ама тоа е само зошто сум гладна.	5
- Еј, девојки!	7
На Карлос навистина му се допаѓаш.	7
И тогааш ќе управува со нашитте животи и ќе ни ги зима парите.	1, 4
Ние кажуваме кој, ние кажуваме кога, ние кажуваме колку.	8
Еј, шеќерче, бараш девојка?	2
Се разбира.	2
- Не можеш да ми наплаќаш за покажување правец.	1
- Твоја?	8
Зарем не те воодушевува?	2
А како тоа ти знаеш толку малку за коли?	7
Држи се.	2
- Сто долари за вечер?	7
- За час.	2, 6, 7
- Мора да се шегуваш.	1, 7
Паа, не, но има потенцијал.	2, 8
- Ќе ви треба ли колата вечерва?	2
- Се надевам не.	4
Знаеш што, ова е судбина.	5, 8
Ќе го облечеш ова?	2
Леле.	3, 7, 8
- Ќе бидеш во ред.	2, 5, 8
И престани да yенyаш.	1
Само испратете јагоди и шампањ горе, ве молам.	2
Не носам хулахопки.	2
Затвори ја устата, драги.	1
Супер поглед.	2, 5, 7
- Најдобро е.	5
А ти планираш се?	1, 2
Секогаш.	2
Знаеш, би можел да ми платиш.	1
Претпоставувам дека кеш е прифатлив.	2
- Јас сакам безбедност.	8
Се кладам дека познаваш многу адвокати.	2
Па, би можела да бидам од корист.	3, 4, 8
- Каде сакаме да го стави?	2, 5
- Што гледа?	2
- Ќе ти пречи ли ако ги соблечам чизмиве?	2
Мојата поранешна сопруга е сега во Лонг Ајленд, во мојот поранешен дом, со моето поранешно куче.	3, 6
Супер.	5
Да останам овде?	2, 8
- Испробај ме.	1, 2, 8
Ќе излезам за минута.	2
Што имаш?	6, 7
Знаеш дека никогаш не сум ја гледала епизодава?	5, 7
Што сакаш?	2
- Ах, Фил, во врска со твојата кола...	6
Што значи тоа?	1
- Ќе си одам за минута.	1, 2, 5
Јас нарачав се.	2
- Спиеше добро?	2
- Ризик на професијата?	4
Тоа не е лесно.	4, 6
Дозволи ми мене.	2
Ете.	5
Имав дедо.	5
- Фил е.	6, 8
- Добро е.	2, 5, 8
- Познавам многу фини девојки.	5, 8
Имам деловен предлог за тебе.	2, 5
- Боже драги!	7
- Вртев и вртев.	1, 8
- Сака да останам цела недела.	2
- Не, згоден е.	5
Добри.	5
- Не го отворајте.	4
Мислам дека немаме ништо за вас.	6, 7
- Како сакате да биде?	2
Тогаш мора да сте му...	2
Ги имам сите овие пари, а немам фустан.	6
Да, повикајте полиција.	1
Не можам да верувам.	7
Потрошивме премногу време на ова.	1, 2
- Мислам дека Xејк е во право.	3
Не разбирам што се случува денес.	4, 6, 7
Здраво.	2
Баш е мил.	5
На вечера?	2
Не сакав да го упропастам.	4, 6
Имам и чевли.	2
- Здраво.	1, 4
Ќе бидам во фоајето на хотелот во точно 7:45.	2, 5
- Во ред.	2, 8
Повикајте ја повторно, ве молам.	4, 6
Да, кажете му дека имам важен телефонски разговор.	1
- Ти реков да не креваш слушалка.	1
Тогаш престани да ми звониш.	1, 3
Имам мал проблем.	2, 4
Не се подгрбавувај.	1, 3
- Од вашата внука, господине.	5
Интересна млада дама, г-ѓица Вивиен.	7
Ќе одиме ли на вечера?	2
Навистина ми е драго.	5, 8
Во ред.	5, 8
- Кој го нарача ова?	7
- Доволно сум богат.	1
Само сакам да си го задржам бродоградилиштето	1, 2, 6
Не знаев.	6, 7
- Како го изведовте тоа?	7
Жал ми е дедо.	3, 6
Ќе бидам во исчекување, господине.	2, 8
Благодарам за прегледот.	2, 5
Она што јас би сакал е ти да се симнеш.	3
- Симни се.	2, 4
Што ако се поднаведнам вака?	6, 8
Мислам... освен со тебе.	2, 4, 8
Се разбира, не со мене.	2, 3, 8
Јас и ти сме толку слични суштества.	5, 8
- Кога почина?	6, 7
Не зборував со него 14 и пол години.	2
Не бев таму кога почина.	4, 7
- Не.	6, 7
Дај ми го печатот.	2, 5, 8
Станував осамена горе, наполно сама.	6
Секогаш ли луѓето прават се што ќе им кажеш?	1
Уште пазарење?	5
Изненаден сум што си купила само еден фустан вчера.	7
Престани да yенyаш.	1
Фрли ја мастиката.	6, 7
Извинете, господине.	6, 7
Порочна или навистина навредлива?	1, 2, 3
- Тој толку ми се допаѓа.	5, 7, 8
Згоден и моќен човек сте.	8
