Was ist mit dir passiert?	{'4'}
Das Geschäft läuft sehr schlecht.	{'6'}
Wäre kein Kopfgeld auf uns ausgesetzt, wären wir nicht mehr hier.	{'4'}
Lasst uns einen auf die alten Zeiten trinken.	{'5'}
So nicht.	{'3'}
So was ist nichts mehr wert, Kid.	{'6'}
Das interessiert niemand mehr.	{'1'}
Erinnerst du dich an die Rinder in Yatrona County?	{'5'}
Schmeißt jemand eine Runde?	{'2'}
Da müssen aber noch mehr mitmachen.	{'8'}
- Wenn alles klar ist.	{'8'}
Moment mal!	{'7'}
Sie äußern sich zu unserem Plan?	{'1'}
Ich bin dagegen.	{'1'}
Was würden Sie denn für passend und anständig halten?	{'1'}
Eggers, der Metzger, nimmt 35 Stück... und schlachtet sie selbst.	{'4'}
"200 Arbeiter arbeiten ab Montag... ""...im größten Schlachthaus außerhalb von Chicago."""	{'3'}
Was hat das mit dem Zug zu tun?	{'7'}
- Darauf trinke ich einen!	{'5'}
Wer nichts wagt, gewinnt nichts.	{'5'}
Ständig auf Rache zu sinnen, bringt einen nicht weiter... und die Vergangenheit zehrt nur an einem.	{'4'}
Im Hole-in-the-Wall-Tal kriegen sie uns nicht.	{'4'}
Wir können Shelleens Plan für einen Zugüberfall nehmen.	{'5'}
Jetzt bitte ich mal um etwas, zum Beispiel einen Zug zu überfallen...	{'6'}
Ihr seid eine schöne Bande!	{'8'}
Ein Indianer, ein betrunkener Revolverheld, ein Sexbesessener... und ein Onkel!	{'7'}
Dann tu ich es halt allein!	{'8'}
Ich nehme ein Bad.	{'5'}
Was ist daran so seltsam?	{'2'}
- Vorhang zu!	{'1'}
Ich danke vielmals.	{'8'}
Hey, ich will hier raus!	{'4'}
Er ist noch am Leben!	{'5'}
Wir müssen ihn rauslassen!	{'4'}
Was ist passiert?	{'7'}
Hände hoch!	{'1'}
Lasst mich rein!	{'4'}
Der Zug wird überfallen.	{'4'}
Dann regeln Sie das.	{'1'}
- Was sollen wir tun?	{'4'}
Stimmt was nicht?	{'4'}
Er macht den Tresor nicht auf.	{'1'}
Stimmt das?	{'1'}
Wir nehmen das, das reicht uns ewig!	{'4'}
Wer würde so was ausschlagen?	{'3'}
Wir müssen hier weg.	{'4'}
Der Kurier schien ein netter Mann zu sein.	{'8'}
Shelleen, das war ein toller Plan!	{'5'}
Alles klappte wie am Schnürchen.	{'5'}
Anfängerglück.	{'6'}
- Fragt ihn, wie wir hier wegkommen.	{'4'}
Liebster Shelleen!	{'5'}
Leihst du mir eine Kugel?	{'8'}
Es war wie in alten Zeiten.	{'5'}
Früher hätte ich so jemanden wie eine Fliege zerdrückt.	{'3'}
Was ist mit euch beiden nur los?	{'4'}
Gebt dem Alten was zu trinken.	{'4'}
Da ist noch mehr zu holen.	{'2'}
Wir haben es getan, Mr. Cassidy.	{'5'}
Meine Bande!	{'8'}
Das ist erst der Anfang.	{'5'}
Helfen Sie mir, ich mache Sie reich.	{'8'}
Er ist Besitzer der Entwicklungs- gesellschaft von Wolf City... und die lassen uns in Ruhe.	{'8'}
Schöne Bande von Halsabschneidern und Mördern.	{'4'}
Als Kinder flüsterten wir eure Namen... weil wir Angst hatten, sie laut auszusprechen.	{'4'}
Sie sind alt geworden.	{'6'}
Fleisch, Bier, Schuhe werden dort hergestellt... da ist was los.	{'5'}
Ich glaube, ich liebe dich.	{'8', '5'}
Nun, ich denke... wenn ihr einen Mann bewundert, werdet ihr schwach.	{'5'}
Einfach Spaß haben.	{'4'}
Genau hier... in diesen großen, blauen Augen.	{'8'}
Ich binde mich nicht an ein Mädchen.	{'1'}
Du lässt dich noch umbringen.	{'4'}
Was kümmert dich das?	{'1'}
Ich habe nie versprochen, ein Held zu sein.	{'1'}
Du bist auch keiner, mach dir keine Sorgen.	{'3'}
Du hast kein Recht, so über mich zu denken.	{'1'}
Dann geh schon.	{'6'}
Was ist los?	{'3', '2', '7'}
Wir glauben, wenn die Götter jemanden verrückt machen wollen... lassen sie ihn sich verlieben.	{'8'}
Das ist aber sehr poetisch.	{'5'}
Was soll ich tun?	{'4'}
Sie können für uns nichts tun.	{'1'}
Wir sehen uns später wieder.	{'8'}
Wenn ich zur Abwechslung mal zu den Gewinnern gehöre, finde ich das toll.	{'5'}
Sir Harry will sofort sein Geld zurück!	{'4'}
Was ist los, Cat?	{'1'}
Hol sie mir.	{'1'}
Wir sind ja bei dir. Und wir bleiben auch!	{'8'}
Alles wird wieder gut.	{'8'}
Willst du was trinken?	{'8'}
Hallo, Kid.	{'5'}
Suchst du einen Job?	{'8'}
Was dann?	{'7'}
Das also!	{'7'}
Wir waren uns nie so sehr grün.	{'5'}
Eine Schießerei.	{'4'}
Vernebelt alles, man kann sich an nichts erinnern.	{'1'}
Sie haben als Kind mit Strawn gespielt?	{'2'}
Er war mein Bruder.	{'6'}
Es war wie damals in Tombstone, als er mich zwang... nur in Unterhosen und mit Hut herumzulaufen.	{'4'}
Es war einfach Klasse.	{'5'}
Halb Wolf City ist auf dem Weg hierher.	{'7'}
Wir machen es wie letztes Mal.	{'2'}
Da kommen 50 Schläger des Engländers! Und noch mehr.	{'4'}
Bist du sicher, dass er es ist?	{'4'}
Der Engländer will eine Schießerei?	{'4'}
Er kann die größte haben, die es jemals gab.	{'1'}
Er will sterben!	{'4'}
Das wird in die Geschichtsbücher eingehen.	{'8'}
Besser, als in einem dreckigen Hotel zu sterben.	{'6'}
Ich fürchtete immer, voll gesoffen in der Gosse zu sterben.	{'4'}
Ich habe aber noch nicht alles gesehen und gemacht.	{'6'}
Ich will nicht sterben.	{'4'}
Wir gehen nach St. Louis.	{'2'}
Warum glauben Männer, wir wollen nur heiraten?	{'6'}
Und du machst dich ständig über mich lustig.	{'1'}
Der dumme Alte ist in das junge Ding vernarrt.	{'1'}
- Und jetzt machen wir es mal richtig.	{'8'}
Hör nicht auf sie!	{'4'}
Heirate sie!	{'5'}
Aber sie will doch nicht!	{'1'}
Jetzt zeig ich's dir ein für alle Mal!	{'1'}
Kann ich meinen Laden wiederhaben, jetzt wo sie geht?	{'1'}
Sir Harry Percival, nehme ich an?	{'5'}
Gefallen Ihnen unsere weitläufigen Anlagen?	{'5'}
Ich werde hier beängstigend gesund.	{'5'}
Wunderschön.	{'8'}
Lassen Sie sich nichts anderes einreden.	{'8'}
Und das ist das Schönste, was ich jemals sah.	{'5'}
Champagner, Hansen!	{'5'}
Ich hörte, Sie haben einen Weinkeller. Das glaube ich nicht.	{'7'}
Oh, es ist Spitze.	{'5'}
Und ob mir das Bett gefällt.	{'5'}
Ein wenig Wein und dazu Musik.	{'5'}
Damit kommen Sie nicht durch.	{'1'}
Unterschreiben Sie.	{'1'}
Das Geständnis, dass Sie Tim Strawn beauftragten... und an der Ermordung meines Vaters schuld sind.	{'6'}
Unterschreiben Sie!	{'2'}
Und wenn ich mich weigere?	{'1'}
Dann töte ich Sie.	{'1'}
Auf geht's, nicht so trödeln.	{'1'}
Alle warten.	{'6'}
Sie freuen sich, sozusagen.	{'2'}
Schade, niemand mag mich.	{'6'}
Das kann man keinem verübeln.	{'6'}
Du hast halb Wolf City das Essen weggenommen.	{'4'}
Hallelujah, Brüder!	{'5'}
Wir alle werden einmal in eine bessere Welt eingehen.	{'8'}
Grüne Wiesen erwarten den müden Sünder... und Milch und Honig fließen.	{'5'}
Oh, Ihre Augen!	{'7'}
Was ist los mit meinen Augen?	{'4'}
Wir verlassen uns auf Sie.	{'8'}
Du kannst jetzt deine letzten Worte sprechen.	{'1'}
~ Und verabschieden uns von Cat Ballou ~	{'6'}
Ich wollte auch Soldat werden, aber sie sagten, ich wäre zu alt.	{'6'}
Es ist grässlich!	{'4'}
Das ist wundervoll.	{'8'}
Ein schönes Mädchen.	{'5'}
- Nicht so höflich.	{'8'}
Was ist mit der Gräfin?	{'7'}
John ist ein Glückspilz. Ah.	{'5'}
Wir kommen zu spät zum Tee.	{'6'}
Du, ich bin mir sicher, dass das Kissen klamm ist.	{'8'}
Wir können dich doch nicht auf klammen Kissen sitzen.	{'3'}
Ein echter Dandy, aber überaus klug.	{'8'}
- Wo ist der Rest eurer Einheit?	{'2'}
Styles Court ist wirklich ein prächtiger, alter Ort.	{'7'}
- Kann dein Bruder dir nicht helfen?	{'1'}
- Lawrence?	{'1'}
Seit ihrer Hochzeit...	{'3'}
- Guten Tag, Monsieur Poirot.	{'5'}
All die Flaschen verschiedener Größe, und alle falsch geordnet!	{'1'}
Was nützt es?	{'2'}
Ich versuche, sie ein Gefühl für Ordnung und Methode zu lehren, aber... sie verschwinden immer in der Kneipe.	{'1'}
Prima Pferd.	{'8'}
Landwirtschaftliche Nutzung ist zum Glück eine Ausnahme.	{'5'}
Es gibt hier wirklich so wenig zu tun.	{'2'}
Ich hätte nicht gedacht, dass es Frauenarbeit ist.	{'7'}
Es herrscht Krieg.	{'4'}
- Gerne. Mary.	{'5'}
Es ist ein Durcheinander.	{'2'}
- Evie, das darf nicht wahr sein.	{'7'}
Ich habe Emily Dinge gesagt, die sie so bald nicht vergeben wird.	{'6'}
- Ach, Evie.	{'5'}
Du liebe Güte.	{'7'}
Sie sagte, je früher ich aus dem Haus sei, um so besser.	{'4'}
Mr. Hastings. Sie sind ehrlich.  Ihnen kann ich vertrauen.	{'5'}
- Achten Sie auf sie, Mr. Hastings.	{'8'}
- Es ist fast ein wenig zu heiß, oder?	{'3'}
Es ist wahrhaftig mon ami Hastings!	{'5'}
Sie hat ihre Gastfreundschaft auf sieben meiner Landsleute ausgeweitet. Sie sind Flüchtlinge aus unser Heimat.	{'8'}
Sie hat uns dort ein reizendes Haus zur Verfügung gestellt.	{'7'}
- Ja, sehr richtig.	{'8'}
Es ist ein Darlehen. Nein!	{'1'}
Ich gab dir zu essen und Kleidung.	{'5'}
Dorcas, bringst du mir Briefmarken? Ja.	{'1'}
- Hast du bei mir das Feuer angemacht?	{'2'}
Ich habe alles von Dorcas erfahren.	{'2'}
- Ich warne dich, John.	{'1'}
Ich bin erschöpft.	{'6'}
Ich muss ins Dorf, um unseren Makler wegen der Immobilien zu sprechen.	{'4'}
Mach die Tür auf!	{'1'}
- Auf der anderen Seite ist eine Tür.	{'4'}
Es ist in Ordnung.	{'5'}
Mir geht es schon ein wenig besser.	{'6'}
Nein!	{'6', '4', '1', '5'}
Ja.	{'2', '8', '1', '5', '4'}
Wir wollen keinen unnötigen Skandal.	{'4'}
Ach, meine arme Emily.	{'6'}
Ich bin mit Ihnen zufrieden, Hastings.	{'8'}
Ich verstehe voll und ganz.	{'7'}
Hastings, wir müssen dies so belassen bis Madame Inglethorps Anwalt da ist.	{'4'}
Das ist höchstinteressant, mon ami.	{'2'}
Ein Feuer im Schlafzimmer, und das im Hochsommer, Hastings?	{'5'}
Es könnte hier...	{'2'}
Wie ich vermutet habe.	{'4'}
