Hadi.	{'6', '2', '1'}
Eli bozdu.	{'4'}
Haydi, altılarınla gir ahbap.	{'5'}
Bana öyle deme demiştim.	{'1'}
Herkesi sen mi batıracaksın yoksa ben mi?	{'2'}
Gördüm de ne demek?	{'7'}
Kör müsünüz nesiniz?	{'1'}
Bence birisi bu kâğıtları işaretlemiş.	{'4'}
Delirdin mi sen?	{'7'}
Yoksa berbat bir çifte 194 dolar koymazdı.	{'1'}
Diyorum ki, sen bu kâğıtları işaretlemişsin.	{'1'}
Seni yenmek için işaretli kâğıda ihtiyacım yok.	{'1'}
Burada kal.	{'4'}
Ben onun çaresine bakarım.	{'8'}
Parayı ver.	{'1'}
Sabahtan beri ıskalayıp gidiyor.	{'1'}
Sana on yedi Philly.	{'3'}
- Sana borcum nedir Kid?	{'1'}
- İyi kazandın mı?	{'2'}
Oyunda biri beni desteyi işaretlemekle suçladı.	{'7'}
Amatörlerle oynuyordun ha?	{'6'}
Sana, karpuzu yardırırsın dememiş miydim?	{'4'}
Kimsenin bana borçlu olmadığı tek oyun onu buldum.	{'7'}
Kid onunla oynamalı.	{'4'}
İyi fikir Bay Howard.	{'8'}
Memnuniyetle beyefendi.	{'5'}
Güzel eşinize de selamımı söyleyin lütfen.	{'8'}
Bu mükemmel.	{'8'}
Oldu öyleyse.	{'8'}
Dokunma bana.	{'1'}
Fazla uzun.	{'3', '1'}
Beni yatırdı, bağladı ve sonra...	{'3'}
Gözlerini gırtlağına dikene kadar bekle.	{'4'}
Gördüğüm en iyi poker oyuncularındansın.	{'8'}
Kendimi dünyanın en iyi stud pokercisi sanıyordum.	{'6'}
En iyisi olduğumu sanıyordum.	{'6'}
İşini bitirmek için kitaptaki her şeyi artı kendi numaralarını kullanacak.	{'4'}
Ders istemiyorum Shooter.	{'1'}
Onun her şeyini istiyorum.	{'2'}
Montuna ne oldu?	{'7'}
- Filmin konusu neydi?	{'2'}
Başka anlatmayacağım.	{'6'}
Buna inanmayacaksın.	{'7'}
Evet. Kocalar da mutludur.	{'5'}
Çünkü anlamlı.	{'5'}
Fransız filmlerine ne diye gidiyorsun ki zaten?	{'7'}
- Biliyorum.	{'6', '8'}
Melba'dan hoşlanıyorum.	{'5'}
Her şeyde hile yapman şart mı?	{'1'}
Anlamıyor musun?	{'4'}
Bulmacayı mahvettin.	{'1'}
O oraya girmez.	{'1'}
Niye ben açacakmışım?	{'1'}
Orada olacağım.	{'8'}
Gerçekten öyle bir şey giyebilir misin?	{'6'}
Eminim sana da yakışır.	{'8'}
Şimdi nereye gidiyorsun?	{'1'}
Öyleyse gel de tanı.	{'2'}
Harika yanı da o işte.	{'2'}
İşte bu harika bir şey.	{'5'}
Hayatının kalanını Shooter'la geçirmek hoşuna gider miydi acaba?	{'2'}
En azından birinin gözündeki değerini biliyorsun.	{'8'}
Bu ortadaki en büyük para.	{'7'}
Elimde papaz ya da as olmadığını nereden bildin?	{'7'}
- Sağ ol.	{'8'}
Kid'le oynayacak mısın?	{'2'}
Ama bu oyundan keyif alacağını sanıyorum.	{'7'}
Yapma, rekabet ne kadar sıkıysa o kadar hoşuna giderdi.	{'5'}
Ne bekliyoruz Shooter? Haydi.	{'7'}
Nereye gittik tahmin bile edemezsin.	{'7'}
Görüşürüz.	{'2'}
Bir şeyler yiyelim.	{'2'}
Ne zaman gidiyorsun?	{'2'}
Tabii kalmamı istersen, o başka.	{'2'}
Neden gittiğimi sormadın bile.	{'1'}
Ben öyle bir şey demedim.	{'1'}
Bavulum hazır.	{'5'}
Doğru mu Shooter?	{'1'}
Eğlence için teşekkürler beyler.	{'8'}
Büyük bir sanatçıyı iş başında görmek değerli bir deneyim oldu.	{'8'}
İmtiyaz için teşekkürler.	{'8'}
Bir şey değil evlat.	{'8'}
Dil nasıl düşüncenin aracıysa, gerçek kumarbaz için paranın asla esas amaç olmadığını anlayan biriyle tanışmak bir zevk.	{'8'}
Akşama görüşürüz.	{'8'}
Minnettar kalırım.	{'8'}
Sağ ol Kid.	{'5'}
- Batık.	{'6'}
Vegas'ta bir faro oyununda battı.	{'1'}
- Öyleyse anlaştık.	{'2'}
- En iyi olan kazansın.	{'8'}
Shooter söylesene şu senin delikanlı beni zora sokar mı?	{'3'}
En uzun oyunumu Mauretania gemisinin ilk seferinde oynadım.	{'3'}
Bu kuşkusuz doğru.	{'8'}
Henüz emekli olmaya hazır değilim.	{'6'}
Onlarla oturmak zorunda mıyız?	{'4'}
Haydi Jessie, kıpırda.	{'1'}
Moralini bozma Kid.	{'8'}
Benimki de beni terk etti.	{'6'}
Kiminle alay ediyorsun bacım?	{'1'}
Hazır.	{'2'}
Bize borçlanacaksın gibi tombulum.	{'3'}
Alice Lee, hayatım, Bay William'ın içkisini tazeler misin?	{'8'}
Tatlım, sen mutfağa gidip bize o hoş mezelerinden getirebilir misin?	{'8'}
Ben de tam öyle yapacaktım şekerim.	{'5'}
İtiraf ediyorum Billy, bazen medyum güçlerin varmış gibi geliyor.	{'4'}
O küçük hatun benim için bütün dünyadan daha değerli Shooter.	{'8'}
İyidir.	{'8'}
