	db_id	phrase	language id	opus_id	movie	filename	=
0	698	There's plenty of money on you too.	1	685	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
1	530	Unless you wanted me to stay.	1	367	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
2	526	Let's get something to eat.	1	363	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
3	985	Deal them up, Shooter.	1	1143	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
4	522	See you around.	1	357	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
5	480	How'd you like to spend the rest of your life with Shooter?	1	294	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
6	737	Yes, I'm playing tonight.	1	763	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
7	324	Go ahead, bet your sixes, buster.	1	22	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
8	818	I'm in.	1	901	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
9	468	Hey, I bet you'd look good in one too.	1	272	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
10	817	I'll play.	1	900	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
11	699	I'll see you later, Shooter.	1	696	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
12	788	They tell me you're quite a stud player, young man.	1	847	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
13	380	The Kid will have to play him.	1	112	en/1965/59037/5735869.xml.gz	/content/drive/My Drive/Colab Notebooks/sentimentator/fixed_en_ant.txt	
